PrepTest_Number,Section_Number,Section_Type,Question_Number_in_Section,Question_ID,Question_Difficulty,Question_50_Percent_Score,LR_Question_Type,LR_Skills,RC_Passage_ID,RC_Passage_Number_in_Section,RC_Passage_Difficulty,RC_Passage_Categories,RC_Question_Categories,RC_Question_Number_in_Passage
101,3,Logical Reasoning,9,PT-101-S-3-Q-9,3.0,149.08,Weaken,Eliminating Options; Link Assumption,,,,,,
101,3,Logical Reasoning,10,PT-101-S-3-Q-10,3.0,148.73,Sufficient assumption,Conditional Reasoning; Link Assumption,,,,,,
101,3,Logical Reasoning,11,PT-101-S-3-Q-11,4.0,153.4,Inference,Net Effect,,,,,,
101,3,Logical Reasoning,12,PT-101-S-3-Q-12,3.0,144.18,Flaw,Conditional Reasoning; Fact v. Belief v. Knowledge,,,,,,
101,3,Logical Reasoning,13,PT-101-S-3-Q-13,1.0,131.6,Necessary assumption,Link Assumption,,,,,,
101,3,Logical Reasoning,14,PT-101-S-3-Q-14,2.0,139.98,Paradox - Explain,Except,,,,,,
101,3,Logical Reasoning,15,PT-101-S-3-Q-15,4.0,153.2,Inference,Conditional Reasoning; Quantifier,,,,,,
101,3,Logical Reasoning,16,PT-101-S-3-Q-16,2.0,136.08,Parallel Flaw,Fallacy; Value Judgment,,,,,,
101,3,Logical Reasoning,17,PT-101-S-3-Q-17,3.0,149.54,Method of Reasoning,Causal Reasoning,,,,,,
101,3,Logical Reasoning,18,PT-101-S-3-Q-18,4.0,159.11,Necessary assumption,Link Assumption,,,,,,
101,3,Logical Reasoning,19,PT-101-S-3-Q-19,3.0,146.13,Sufficient assumption,Conditional Reasoning; Link Assumption,,,,,,
101,3,Logical Reasoning,20,PT-101-S-3-Q-20,5.0,161.72,Principle - Rule,Rule-Application; Value Judgment,,,,,,
101,3,Logical Reasoning,21,PT-101-S-3-Q-21,4.0,152.88,Parallel,Math,,,,,,
101,3,Logical Reasoning,22,PT-101-S-3-Q-22,4.0,155.61,Weaken,Causal Reasoning; Except; Link Assumption,,,,,,
101,3,Logical Reasoning,23,PT-101-S-3-Q-23,5.0,162.95,Strengthen,,,,,,,
101,3,Logical Reasoning,24,PT-101-S-3-Q-24,5.0,168.07,Principle - Application,Conditional Reasoning; Rule-Application,,,,,,
101,3,Logical Reasoning,25,PT-101-S-3-Q-25,4.0,155.71,Flaw,Link Assumption; Net Effect,,,,,,
101,3,Logical Reasoning,26,PT-101-S-3-Q-26,4.0,157.93,Strengthen,Rule-Application,,,,,,
101,4,Reading Comprehension,,PT-101-S-4-P-1-Q-1,1.0,128.24,,,PT-101-S-4-P-1,1,2.0,Art; Debate,Main Idea,1
101,4,Reading Comprehension,,PT-101-S-4-P-1-Q-2,1.0,134.27,,,PT-101-S-4-P-1,1,2.0,Art; Debate,PurpCtx.,2
101,4,Reading Comprehension,,PT-101-S-4-P-1-Q-3,2.0,139.58,,,PT-101-S-4-P-1,1,2.0,Art; Debate,Purpose of Paragraph,3
101,4,Reading Comprehension,,PT-101-S-4-P-1-Q-4,2.0,135.98,,,PT-101-S-4-P-1,1,2.0,Art; Debate,Inference,4
101,4,Reading Comprehension,,PT-101-S-4-P-1-Q-5,2.0,136.5,,,PT-101-S-4-P-1,1,2.0,Art; Debate,Inference; Other Viewpoint,5
101,4,Reading Comprehension,,PT-101-S-4-P-1-Q-6,3.0,150.9,,,PT-101-S-4-P-1,1,2.0,Art; Debate,Author Viewpoint; Inference,6
101,4,Reading Comprehension,,PT-101-S-4-P-1-Q-7,3.0,142.21,,,PT-101-S-4-P-1,1,2.0,Art; Debate,Inference,7
101,4,Reading Comprehension,,PT-101-S-4-P-1-Q-8,5.0,163.43,,,PT-101-S-4-P-1,1,2.0,Art; Debate,Phrase Meaning,8
101,4,Reading Comprehension,,PT-101-S-4-P-2-Q-9,1.0,126.41,,,PT-101-S-4-P-2,2,3.0,Law; One-Position; Problem Analysis,Inference; Purpose of Passage,9
101,4,Reading Comprehension,,PT-101-S-4-P-2-Q-10,3.0,147.96,,,PT-101-S-4-P-2,2,3.0,Law; One-Position; Problem Analysis,Application,10
101,4,Reading Comprehension,,PT-101-S-4-P-2-Q-11,5.0,161.55,,,PT-101-S-4-P-2,2,3.0,Law; One-Position; Problem Analysis,Inference,11
101,4,Reading Comprehension,,PT-101-S-4-P-2-Q-12,5.0,164.05,,,PT-101-S-4-P-2,2,3.0,Law; One-Position; Problem Analysis,Inference,12
101,4,Reading Comprehension,,PT-101-S-4-P-2-Q-13,4.0,152.94,,,PT-101-S-4-P-2,2,3.0,Law; One-Position; Problem Analysis,Purpose of Paragraph,13
101,4,Reading Comprehension,,PT-101-S-4-P-2-Q-14,3.0,143.2,,,PT-101-S-4-P-2,2,3.0,Law; One-Position; Problem Analysis,Main Idea,14
101,4,Reading Comprehension,,PT-101-S-4-P-3-Q-15,3.0,144.35,,,PT-101-S-4-P-3,3,5.0,Debate; Hypothesis; Science,Main Idea,15
101,4,Reading Comprehension,,PT-101-S-4-P-3-Q-16,4.0,153.53,,,PT-101-S-4-P-3,3,5.0,Debate; Hypothesis; Science,Application,16
101,4,Reading Comprehension,,PT-101-S-4-P-3-Q-17,4.0,159.28,,,PT-101-S-4-P-3,3,5.0,Debate; Hypothesis; Science,Inference,17
101,4,Reading Comprehension,,PT-101-S-4-P-3-Q-18,4.0,153.22,,,PT-101-S-4-P-3,3,5.0,Debate; Hypothesis; Science,Weaken-Strengthen,18
101,4,Reading Comprehension,,PT-101-S-4-P-3-Q-19,4.0,156.76,,,PT-101-S-4-P-3,3,5.0,Debate; Hypothesis; Science,Inference,19
101,4,Reading Comprehension,,PT-101-S-4-P-3-Q-20,5.0,164.11,,,PT-101-S-4-P-3,3,5.0,Debate; Hypothesis; Science,Author Viewpoint; Inference,20
101,4,Reading Comprehension,,PT-101-S-4-P-4-Q-21,3.0,149.57,,,PT-101-S-4-P-4,4,5.0,Debate; Humanities,Main Idea,21
101,4,Reading Comprehension,,PT-101-S-4-P-4-Q-22,5.0,159.7,,,PT-101-S-4-P-4,4,5.0,Debate; Humanities,PurpCtx.,22
101,4,Reading Comprehension,,PT-101-S-4-P-4-Q-23,3.0,146.02,,,PT-101-S-4-P-4,4,5.0,Debate; Humanities,Inference,23
101,4,Reading Comprehension,,PT-101-S-4-P-4-Q-24,3.0,147.99,,,PT-101-S-4-P-4,4,5.0,Debate; Humanities,Inference,24
101,4,Reading Comprehension,,PT-101-S-4-P-4-Q-25,4.0,156.59,,,PT-101-S-4-P-4,4,5.0,Debate; Humanities,Author Attitude; Inference,25
101,4,Reading Comprehension,,PT-101-S-4-P-4-Q-26,5.0,166.9,,,PT-101-S-4-P-4,4,5.0,Debate; Humanities,Inference; Other Viewpoint,26
101,4,Reading Comprehension,,PT-101-S-4-P-4-Q-27,5.0,162.57,,,PT-101-S-4-P-4,4,5.0,Debate; Humanities,Inference; Other Viewpoint,27
102,1,Reading Comprehension,,PT-102-S-1-P-1-Q-1,1.0,127.48,,,PT-102-S-1-P-1,1,1.0,Debate; Law; Problem Analysis,Main Idea,1
102,1,Reading Comprehension,,PT-102-S-1-P-1-Q-2,2.0,138.45,,,PT-102-S-1-P-1,1,1.0,Debate; Law; Problem Analysis,Inference,2
102,1,Reading Comprehension,,PT-102-S-1-P-1-Q-3,3.0,143.69,,,PT-102-S-1-P-1,1,1.0,Debate; Law; Problem Analysis,Structure,3
102,1,Reading Comprehension,,PT-102-S-1-P-1-Q-4,2.0,137.65,,,PT-102-S-1-P-1,1,1.0,Debate; Law; Problem Analysis,Author Attitude; Inference,4
102,1,Reading Comprehension,,PT-102-S-1-P-1-Q-5,3.0,148.24,,,PT-102-S-1-P-1,1,1.0,Debate; Law; Problem Analysis,Author Viewpoint; Inference,5
102,1,Reading Comprehension,,PT-102-S-1-P-1-Q-6,3.0,147.4,,,PT-102-S-1-P-1,1,1.0,Debate; Law; Problem Analysis,Application,6
102,1,Reading Comprehension,,PT-102-S-1-P-1-Q-7,2.0,134.86,,,PT-102-S-1-P-1,1,1.0,Debate; Law; Problem Analysis,Inference; Purpose of Passage,7
102,1,Reading Comprehension,,PT-102-S-1-P-2-Q-8,3.0,144.35,,,PT-102-S-1-P-2,2,3.0,Art; One-Position; Single-Topic,Main Idea,8
102,1,Reading Comprehension,,PT-102-S-1-P-2-Q-9,3.0,147.47,,,PT-102-S-1-P-2,2,3.0,Art; One-Position; Single-Topic,Inference,9
102,1,Reading Comprehension,,PT-102-S-1-P-2-Q-10,3.0,149.85,,,PT-102-S-1-P-2,2,3.0,Art; One-Position; Single-Topic,Inference,10
102,1,Reading Comprehension,,PT-102-S-1-P-2-Q-11,4.0,152.62,,,PT-102-S-1-P-2,2,3.0,Art; One-Position; Single-Topic,PurpCtx.,11
102,1,Reading Comprehension,,PT-102-S-1-P-2-Q-12,4.0,158.59,,,PT-102-S-1-P-2,2,3.0,Art; One-Position; Single-Topic,Inference,12
102,1,Reading Comprehension,,PT-102-S-1-P-2-Q-13,3.0,146.32,,,PT-102-S-1-P-2,2,3.0,Art; One-Position; Single-Topic,Structure,13
102,1,Reading Comprehension,,PT-102-S-1-P-3-Q-14,2.0,139.64,,,PT-102-S-1-P-3,3,2.0,Debate; Humanities,Main Idea,14
102,1,Reading Comprehension,,PT-102-S-1-P-3-Q-15,3.0,151.5,,,PT-102-S-1-P-3,3,2.0,Debate; Humanities,PurpCtx.,15
102,1,Reading Comprehension,,PT-102-S-1-P-3-Q-16,1.0,133.38,,,PT-102-S-1-P-3,3,2.0,Debate; Humanities,Author Viewpoint; Inference,16
102,1,Reading Comprehension,,PT-102-S-1-P-3-Q-17,2.0,136.33,,,PT-102-S-1-P-3,3,2.0,Debate; Humanities,Purpose of Paragraph,17
102,1,Reading Comprehension,,PT-102-S-1-P-3-Q-18,3.0,143.2,,,PT-102-S-1-P-3,3,2.0,Debate; Humanities,Author Attitude; Inference,18
102,1,Reading Comprehension,,PT-102-S-1-P-3-Q-19,5.0,161.25,,,PT-102-S-1-P-3,3,2.0,Debate; Humanities,Author Viewpoint; Inference,19
102,1,Reading Comprehension,,PT-102-S-1-P-3-Q-20,3.0,145.43,,,PT-102-S-1-P-3,3,2.0,Debate; Humanities,Inference,20
102,1,Reading Comprehension,,PT-102-S-1-P-3-Q-21,3.0,151.63,,,PT-102-S-1-P-3,3,2.0,Debate; Humanities,Inference; Purpose of Passage,21
102,1,Reading Comprehension,,PT-102-S-1-P-4-Q-22,4.0,154.01,,,PT-102-S-1-P-4,4,5.0,Debate; Science,Main Idea,22
102,1,Reading Comprehension,,PT-102-S-1-P-4-Q-23,4.0,154.17,,,PT-102-S-1-P-4,4,5.0,Debate; Science,Inference,23
102,1,Reading Comprehension,,PT-102-S-1-P-4-Q-24,4.0,157.49,,,PT-102-S-1-P-4,4,5.0,Debate; Science,Except; Inference,24
102,1,Reading Comprehension,,PT-102-S-1-P-4-Q-25,4.0,158.03,,,PT-102-S-1-P-4,4,5.0,Debate; Science,Inference; Other Viewpoint,25
102,1,Reading Comprehension,,PT-102-S-1-P-4-Q-26,5.0,163.22,,,PT-102-S-1-P-4,4,5.0,Debate; Science,Inference; Passage Principle,26
102,2,Logical Reasoning,1,PT-102-S-2-Q-1,2.0,141.35,Main conclusion or main point,Causal Reasoning,,,,,,
102,2,Logical Reasoning,2,PT-102-S-2-Q-2,2.0,141.2,Parallel Flaw,Conditional Reasoning; Link Assumption,,,,,,
102,2,Logical Reasoning,3,PT-102-S-2-Q-3,1.0,124.94,Fill in the blank; Most Strongly Supported,Causal Reasoning,,,,,,
102,2,Logical Reasoning,4,PT-102-S-2-Q-4,3.0,150.71,Strengthen,Net Effect; Value Judgment,,,,,,
102,2,Logical Reasoning,5,PT-102-S-2-Q-5,3.0,143.35,Weaken,Net Effect; Value Judgment,,,,,,
102,2,Logical Reasoning,6,PT-102-S-2-Q-6,1.0,132.77,Necessary assumption,Causal Reasoning; Conditional Reasoning,,,,,,
102,2,Logical Reasoning,7,PT-102-S-2-Q-7,3.0,149.06,Main conclusion or main point,Causal Reasoning,,,,,,
102,2,Logical Reasoning,8,PT-102-S-2-Q-8,4.0,152.5,Most Strongly Supported; Principle,Rule-Application,,,,,,
102,2,Logical Reasoning,9,PT-102-S-2-Q-9,1.0,131.66,Flaw,,,,,,,
102,2,Logical Reasoning,10,PT-102-S-2-Q-10,1.0,133.8,Strengthen,,,,,,,
102,2,Logical Reasoning,11,PT-102-S-2-Q-11,2.0,136.82,Most Strongly Supported; Principle,Rule-Application,,,,,,
102,2,Logical Reasoning,12,PT-102-S-2-Q-12,3.0,142.04,Necessary assumption,,,,,,,
102,2,Logical Reasoning,13,PT-102-S-2-Q-13,5.0,161.18,Most Strongly Supported,,,,,,,
102,2,Logical Reasoning,14,PT-102-S-2-Q-14,3.0,150.46,Paradox - Explain,,,,,,,
102,2,Logical Reasoning,15,PT-102-S-2-Q-15,3.0,144.2,Weaken,,,,,,,
102,2,Logical Reasoning,16,PT-102-S-2-Q-16,4.0,152.8,Necessary assumption,Link Assumption,,,,,,
102,2,Logical Reasoning,17,PT-102-S-2-Q-17,3.0,146.45,Paradox - Explain,Except; Sampling,,,,,,
102,2,Logical Reasoning,18,PT-102-S-2-Q-18,3.0,143.79,Flaw,Eliminating Options,,,,,,
102,2,Logical Reasoning,19,PT-102-S-2-Q-19,3.0,149.61,Most Strongly Supported,Except,,,,,,
102,2,Logical Reasoning,20,PT-102-S-2-Q-20,4.0,156.29,Flaw,Fact v. Belief v. Knowledge; Fallacy,,,,,,
102,2,Logical Reasoning,21,PT-102-S-2-Q-21,5.0,161.64,Must be True,Conditional Reasoning,,,,,,
102,2,Logical Reasoning,22,PT-102-S-2-Q-22,5.0,173.05,Parallel,Conditional Reasoning,,,,,,
102,2,Logical Reasoning,23,PT-102-S-2-Q-23,5.0,160.73,Strengthen,Conditional Reasoning; Rule-Application; Value Judgment,,,,,,
102,2,Logical Reasoning,24,PT-102-S-2-Q-24,5.0,164.37,Necessary assumption,Link Assumption; Rule-Application; Value Judgment,,,,,,
102,2,Logical Reasoning,25,PT-102-S-2-Q-25,5.0,160.82,Sufficient assumption,Conditional Reasoning; Net Effect; Rule-Application,,,,,,
102,3,Logical Reasoning,1,PT-102-S-3-Q-1,2.0,134.98,Flaw,Rule-Application,,,,,,
102,3,Logical Reasoning,2,PT-102-S-3-Q-2,3.0,147.37,Necessary assumption,Quantifier,,,,,,
102,3,Logical Reasoning,3,PT-102-S-3-Q-3,3.0,145.09,Most Strongly Supported,Causal Reasoning,,,,,,
102,3,Logical Reasoning,4,PT-102-S-3-Q-4,4.0,157.45,Weaken,Causal Reasoning,,,,,,
102,3,Logical Reasoning,5,PT-102-S-3-Q-5,4.0,154.26,Paradox - Explain,Math,,,,,,
102,3,Logical Reasoning,6,PT-102-S-3-Q-6,2.0,138.61,Method of Reasoning,,,,,,,
102,3,Logical Reasoning,7,PT-102-S-3-Q-7,3.0,145.36,Flaw,Math,,,,,,
102,3,Logical Reasoning,8,PT-102-S-3-Q-8,1.0,129.85,Method of Reasoning,Analogy,,,,,,
102,3,Logical Reasoning,9,PT-102-S-3-Q-9,3.0,149.36,Necessary assumption,Analogy,,,,,,
102,3,Logical Reasoning,10,PT-102-S-3-Q-10,4.0,153.94,Principle; Principle - Rule,Analogy,,,,,,
102,3,Logical Reasoning,11,PT-102-S-3-Q-11,2.0,137.94,Method of Reasoning,Analogy,,,,,,
102,3,Logical Reasoning,12,PT-102-S-3-Q-12,2.0,135.5,Weaken,Analogy,,,,,,
102,3,Logical Reasoning,13,PT-102-S-3-Q-13,3.0,145.06,Necessary assumption,Math; Net Effect,,,,,,
102,3,Logical Reasoning,14,PT-102-S-3-Q-14,2.0,135.36,Flaw,,,,,,,
102,3,Logical Reasoning,15,PT-102-S-3-Q-15,3.0,150.92,Necessary assumption,,,,,,,
102,3,Logical Reasoning,16,PT-102-S-3-Q-16,3.0,143.34,Disagree,Causal Reasoning; Link Assumption; Value Judgment,,,,,,
102,3,Logical Reasoning,17,PT-102-S-3-Q-17,3.0,151.07,Most Strongly Supported,Conditional Reasoning,,,,,,
102,3,Logical Reasoning,18,PT-102-S-3-Q-18,5.0,162.54,Sufficient assumption,Math,,,,,,
102,3,Logical Reasoning,19,PT-102-S-3-Q-19,2.0,141.01,Fill in the blank; Most Strongly Supported,Causal Reasoning,,,,,,
102,3,Logical Reasoning,20,PT-102-S-3-Q-20,4.0,152.8,Parallel,Fact v. Belief v. Knowledge,,,,,,
102,3,Logical Reasoning,21,PT-102-S-3-Q-21,4.0,155.91,Strengthen,Fact v. Belief v. Knowledge,,,,,,
102,3,Logical Reasoning,22,PT-102-S-3-Q-22,5.0,166.2,Parallel Flaw,Conditional Reasoning,,,,,,
102,3,Logical Reasoning,23,PT-102-S-3-Q-23,3.0,151.34,Flaw,Link Assumption,,,,,,
102,3,Logical Reasoning,24,PT-102-S-3-Q-24,4.0,157.36,Most Strongly Supported,,,,,,,
102,4,Logical Reasoning,1,PT-102-S-4-Q-1,2.0,138.27,Main conclusion or main point,Net Effect; Value Judgment,,,,,,
102,4,Logical Reasoning,2,PT-102-S-4-Q-2,2.0,138.79,Inference,Sampling,,,,,,
102,4,Logical Reasoning,3,PT-102-S-4-Q-3,1.0,125.39,Weaken,Math,,,,,,
102,4,Logical Reasoning,4,PT-102-S-4-Q-4,1.0,124.77,Flaw,Value Judgment,,,,,,
102,4,Logical Reasoning,5,PT-102-S-4-Q-5,3.0,143.24,Strengthen,Rule-Application,,,,,,
102,4,Logical Reasoning,6,PT-102-S-4-Q-6,2.0,139.65,Strengthen,,,,,,,
102,4,Logical Reasoning,7,PT-102-S-4-Q-7,3.0,151.11,Strengthen,Causal Reasoning; Link Assumption; Rule-Application,,,,,,
102,4,Logical Reasoning,8,PT-102-S-4-Q-8,2.0,135.28,Flaw,Quantifier,,,,,,
102,4,Logical Reasoning,9,PT-102-S-4-Q-9,2.0,141.18,Necessary assumption,Net Effect,,,,,,
102,4,Logical Reasoning,10,PT-102-S-4-Q-10,2.0,138.67,Weaken,Net Effect,,,,,,
102,4,Logical Reasoning,11,PT-102-S-4-Q-11,4.0,152.54,Weaken,Except; Sampling; Value Judgment,,,,,,
102,4,Logical Reasoning,12,PT-102-S-4-Q-12,3.0,143.03,Parallel Flaw,Causal Reasoning,,,,,,
102,4,Logical Reasoning,13,PT-102-S-4-Q-13,3.0,151.39,Paradox - Explain,Causal Reasoning,,,,,,
102,4,Logical Reasoning,14,PT-102-S-4-Q-14,3.0,143.8,Principle; Principle - Rule,Conditional Reasoning; Link Assumption; Rule-Application,,,,,,
102,4,Logical Reasoning,15,PT-102-S-4-Q-15,4.0,153.75,Must be False,Conditional Reasoning; Eliminating Options,,,,,,
102,4,Logical Reasoning,16,PT-102-S-4-Q-16,5.0,166.38,Must be False,Conditional Reasoning,,,,,,
102,4,Logical Reasoning,17,PT-102-S-4-Q-17,4.0,156.49,Flaw,Value Judgment,,,,,,
